num,playerID,yearID,stint,teamID,IgID,G,AB,R,H,B2,B3,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,prev_salary,salary
62545,frazige01,1985,1,CHN,NL,51,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5295901.19267,7704221.15827
62549,gaettga01,1985,1,MIN,AL,160,560,71,138,31,0,20,63,13,5,37,89,3,7,3,1,15,4547173.47038,6264751.55488
62555,gantnji01,1985,1,ML4,AL,143,523,63,133,15,4,5,44,11,8,33,42,7,3,10,4,13,7532968.09852,10796052.4368
62557,garbege01,1985,1,ATL,NL,59,5,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,8458838.35935,9569462.74063
62558,garcida01,1985,1,TOR,AL,146,600,70,169,25,4,8,65,28,15,15,41,2,4,5,3,13,8108212.93513,9610007.23953
62562,garneph01,1985,1,HOU,NL,135,463,65,124,23,10,6,51,4,4,34,72,3,2,1,5,12,8162998.15767,7298739.67559
62563,garresc01,1985,1,SFN,NL,74,9,1,2,1,0,0,2,0,0,1,4,0,0,0,0,0,931348.783089,2493736.05583
62565,gedmari01,1985,1,BOS,AL,144,498,66,147,30,5,18,80,2,0,50,79,11,3,3,2,12,5231988.75206,7906967.98189
62569,gibsoki01,1985,1,DET,AL,154,581,96,167,37,5,29,97,30,4,71,137,16,5,3,10,5,7505575.48725,14597479.3512
62572,gladdda01,1985,1,SFN,NL,142,502,64,122,15,8,7,41,32,15,40,78,1,7,10,2,10,1479201.00844,2128799.07205
62579,gossari01,1985,1,SDN,NL,50,11,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,18773065.9362,12733393.4026
62580,gottji01,1985,1,SFN,NL,26,51,6,10,2,0,3,3,0,1,1,30,0,0,4,0,0,1862697.56618,4561712.29725
62584,grichbo01,1985,1,CAL,AL,144,479,74,116,17,3,13,53,3,5,81,77,3,3,8,0,18,7669931.15485,6082283.06299
62585,griffal01,1985,1,OAK,AL,162,614,75,166,18,7,2,64,24,9,20,50,1,0,5,7,6,6683797.14923,7026119.58414
62586,griffke01,1985,1,NYA,AL,127,438,68,120,28,4,10,69,7,7,41,51,4,0,0,8,2,11778822.845,12772794.4323
62587,grossgr01,1985,1,PHI,NL,93,169,21,44,5,2,0,14,1,0,32,9,1,0,2,2,5,3834965.57743,4561712.29725
62588,grosske01,1985,1,PHI,NL,39,65,1,9,2,0,1,6,0,0,2,23,0,0,8,0,1,1533986.23097,4318420.97473
62589,grosswa01,1985,1,BAL,AL,103,217,31,51,8,0,11,18,1,1,46,48,0,0,1,0,3,5295901.19267,5474054.7567
62590,grubbjo01,1985,1,DET,AL,78,155,19,38,7,1,5,25,0,1,24,25,0,1,0,4,5,2739261.12673,3041141.5315
62592,guantce01,1985,1,PIT,NL,63,17,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,1643556.67604,3740604.08374
62596,guilloz01,1985,1,CHA,AL,150,491,71,134,21,9,1,33,7,4,12,36,1,1,8,1,5,657422.670416,1824684.9189
62603,gwynnto01,1985,1,SDN,NL,154,622,90,197,29,5,6,46,14,11,45,33,4,2,1,1,17,4821099.58305,6568865.70803
62606,hairsje01,1985,1,CHA,AL,95,140,9,34,8,0,2,20,0,0,29,18,3,2,0,4,3,1643556.67604,1905786.08126
62608,hallme01,1985,1,CLE,AL,23,66,7,21,6,0,0,12,0,1,8,12,0,0,0,1,2,2300979.34646,4257598.1441
62609,hammaat01,1985,1,SFN,NL,29,47,0,4,0,0,0,0,0,0,0,17,0,0,6,0,0,3889750.79996,5595700.41796
62612,harpete01,1985,1,ATL,NL,138,492,58,130,15,2,17,72,9,9,44,76,4,3,1,2,13,2739261.12673,5169940.60355
62613,harrato01,1985,1,TEX,AL,126,396,65,107,18,1,9,44,11,4,113,60,2,4,2,6,4,7122078.92951,8515196.28819
62615,hassero01,1985,1,NYA,AL,92,267,31,79,16,1,13,42,0,0,28,21,4,3,0,0,7,4656743.91545,4876446.11662
62618,hatchmi01,1985,1,MIN,AL,116,444,46,125,28,0,3,49,0,0,16,23,1,2,3,2,15,3218631.82391,8109714.80551
62620,hawkian01,1985,1,SDN,NL,33,77,1,6,0,0,0,3,0,0,3,16,0,0,13,0,1,2191408.90139,3649369.8378
62621,hayesvo01,1985,1,PHI,NL,152,570,76,150,30,4,13,70,21,8,61,99,6,0,2,4,6,5478522.25347,7906967.98189
62626,hebneri01,1985,1,CHN,NL,83,120,10,26,2,0,3,22,0,1,7,15,1,1,0,0,2,3396683.79715,1216456.6126
62627,heepda01,1985,1,NYN,NL,95,271,26,76,17,0,7,42,2,2,27,27,1,1,0,6,12,2848831.5718,4257598.1441
62631,hendest01,1985,1,OAK,AL,85,193,25,58,8,3,3,31,0,0,18,34,0,0,1,1,10,1643556.67604,2432913.2252
62633,hendrge01,1985,2,CAL,AL,16,41,5,5,1,0,2,6,0,0,4,8,1,0,0,1,4,8075341.80161,11426578.3928
62639,herndla01,1985,1,DET,AL,137,442,45,108,12,7,12,37,2,1,33,79,1,1,1,1,9,7396005.04218,8363139.21162
62640,herrto01,1985,1,SLN,NL,159,596,97,180,38,3,8,110,31,3,80,55,5,2,5,13,6,6135944.92388,9123424.59449
62641,hershor01,1985,1,LAN,NL,37,76,5,15,1,0,0,4,1,0,4,20,0,1,10,0,0,2322893.43547,12164566.126
