num,playerID,yearID,stint,teamID,IgID,G,AB,R,H,B2,B3,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,prev_salary,salary
62528,flannti01,1985,1,SDN,NL,126,384,50,108,14,3,1,40,2,5,58,39,1,9,3,2,4,175000,191667
62530,flynndo01,1985,1,MON,NL,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,350000,325000
62535,fontera01,1985,1,CHN,NL,38,41,2,2,0,0,0,0,0,0,0,18,0,0,4,0,1,200000,240000
62537,fordda01,1985,1,BAL,AL,28,75,4,14,2,0,1,1,0,1,7,17,0,0,0,0,3,450000,350000
62538,forscbo01,1985,1,SLN,NL,34,45,3,11,2,1,1,4,0,0,0,10,0,0,2,0,0,583333,527235
62540,fostege01,1985,1,NYN,NL,129,452,57,119,24,1,21,77,0,1,46,87,5,2,0,4,8,1942857,2800000
62542,francjo01,1985,1,CIN,NL,67,6,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,75000,195000
62543,francju01,1985,1,CLE,AL,160,636,97,183,33,4,6,90,13,9,54,74,2,4,0,9,26,455000,575000
62545,frazige01,1985,1,CHN,NL,51,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,483333,633333
62549,gaettga01,1985,1,MIN,AL,160,560,71,138,31,0,20,63,13,5,37,89,3,7,3,1,15,415000,515000
62555,gantnji01,1985,1,ML4,AL,143,523,63,133,15,4,5,44,11,8,33,42,7,3,10,4,13,687500,887500
62557,garbege01,1985,1,ATL,NL,59,5,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,772000,786667
62558,garcida01,1985,1,TOR,AL,146,600,70,169,25,4,8,65,28,15,15,41,2,4,5,3,13,740000,790000
62562,garneph01,1985,1,HOU,NL,135,463,65,124,23,10,6,51,4,4,34,72,3,2,1,5,12,745000,600000
62563,garresc01,1985,1,SFN,NL,74,9,1,2,1,0,0,2,0,0,1,4,0,0,0,0,0,85000,205000
62564,garvest01,1985,1,SDN,NL,162,654,80,184,34,6,17,81,0,0,35,67,7,3,1,6,25,975000,1250000
62565,gedmari01,1985,1,BOS,AL,144,498,66,147,30,5,18,80,2,0,50,79,11,3,3,2,12,477500,650000
62569,gibsoki01,1985,1,DET,AL,154,581,96,167,37,5,29,97,30,4,71,137,16,5,3,10,5,685000,1200000
62572,gladdda01,1985,1,SFN,NL,142,502,64,122,15,8,7,41,32,15,40,78,1,7,10,2,10,135000,175000
62577,goodedw01,1985,1,NYN,NL,35,93,11,21,2,0,1,9,0,0,5,15,0,0,9,0,1,450000,1320000
62579,gossari01,1985,1,SDN,NL,50,11,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1713333,1046761
62580,gottji01,1985,1,SFN,NL,26,51,6,10,2,0,3,3,0,1,1,30,0,0,4,0,0,170000,375000
62584,grichbo01,1985,1,CAL,AL,144,479,74,116,17,3,13,53,3,5,81,77,3,3,8,0,18,700000,500000
62585,griffal01,1985,1,OAK,AL,162,614,75,166,18,7,2,64,24,9,20,50,1,0,5,7,6,610000,577589
62586,griffke01,1985,1,NYA,AL,127,438,68,120,28,4,10,69,7,7,41,51,4,0,0,8,2,1075000,1050000
62587,grossgr01,1985,1,PHI,NL,93,169,21,44,5,2,0,14,1,0,32,9,1,0,2,2,5,350000,375000
62588,grosske01,1985,1,PHI,NL,39,65,1,9,2,0,1,6,0,0,2,23,0,0,8,0,1,140000,355000
62589,grosswa01,1985,1,BAL,AL,103,217,31,51,8,0,11,18,1,1,46,48,0,0,1,0,3,483333,450000
62590,grubbjo01,1985,1,DET,AL,78,155,19,38,7,1,5,25,0,1,24,25,0,1,0,4,5,250000,250000
62592,guantce01,1985,1,PIT,NL,63,17,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,150000,307500
62593,gubicma01,1985,1,KCA,AL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000,250000
62594,guerrpe01,1985,1,LAN,NL,137,487,99,156,22,2,33,87,12,4,83,68,14,6,0,5,13,1270000,1370000
62595,guidrro01,1985,1,NYA,AL,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,975000
62596,guilloz01,1985,1,CHA,AL,150,491,71,134,21,9,1,33,7,4,12,36,1,1,8,1,5,60000,150000
62603,gwynnto01,1985,1,SDN,NL,154,622,90,197,29,5,6,46,14,11,45,33,4,2,1,1,17,440000,540000
62604,haasmo01,1985,1,ML4,AL,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679167,779167
62606,hairsje01,1985,1,CHA,AL,95,140,9,34,8,0,2,20,0,0,29,18,3,2,0,4,3,150000,156667
62608,hallme01,1985,1,CLE,AL,23,66,7,21,6,0,0,12,0,1,8,12,0,0,0,1,2,210000,350000
62609,hammaat01,1985,1,SFN,NL,29,47,0,4,0,0,0,0,0,0,0,17,0,0,6,0,0,355000,460000
62612,harpete01,1985,1,ATL,NL,138,492,58,130,15,2,17,72,9,9,44,76,4,3,1,2,13,250000,425000
62613,harrato01,1985,1,TEX,AL,126,396,65,107,18,1,9,44,11,4,113,60,2,4,2,6,4,650000,700000
62615,hassero01,1985,1,NYA,AL,92,267,31,79,16,1,13,42,0,0,28,21,4,3,0,0,7,425000,400873
62618,hatchmi01,1985,1,MIN,AL,116,444,46,125,28,0,3,49,0,0,16,23,1,2,3,2,15,293750,666667
62620,hawkian01,1985,1,SDN,NL,33,77,1,6,0,0,0,3,0,0,3,16,0,0,13,0,1,200000,300000
62621,hayesvo01,1985,1,PHI,NL,152,570,76,150,30,4,13,70,21,8,61,99,6,0,2,4,6,500000,650000
62625,heatone01,1985,1,CLE,AL,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225000,310000
62626,hebneri01,1985,1,CHN,NL,83,120,10,26,2,0,3,22,0,1,7,15,1,1,0,0,2,310000,100000
62627,heepda01,1985,1,NYN,NL,95,271,26,76,17,0,7,42,2,2,27,27,1,1,0,6,12,260000,350000
62630,henderi01,1985,1,NYA,AL,143,547,146,172,28,5,24,72,80,10,99,65,1,3,0,5,8,1470000,1570000
62631,hendest01,1985,1,OAK,AL,85,193,25,58,8,3,3,31,0,0,18,34,0,0,1,1,10,150000,200000
62633,hendrge01,1985,2,CAL,AL,16,41,5,5,1,0,2,6,0,0,4,8,1,0,0,1,4,737000,939333
62634,henketo01,1985,1,TOR,AL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,191000
62636,hernake01,1985,1,NYN,NL,158,593,87,183,34,4,10,91,3,3,77,59,15,2,0,10,14,1100000,1650000
62638,hernawi01,1985,1,DET,AL,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660000,960000
62639,herndla01,1985,1,DET,AL,137,442,45,108,12,7,12,37,2,1,33,79,1,1,1,1,9,675000,687500
62640,herrto01,1985,1,SLN,NL,159,596,97,180,38,3,8,110,31,3,80,55,5,2,5,13,6,560000,750000
62641,hershor01,1985,1,LAN,NL,37,76,5,15,1,0,0,4,1,0,4,20,0,1,10,0,0,212000,1000000
62643,higuete01,1985,1,ML4,AL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,195000
62645,hillma01,1985,1,CHA,AL,40,75,5,10,2,0,0,4,0,0,12,9,0,0,8,0,2,200000,200000
62646,hoffmgl01,1985,1,BOS,AL,96,279,40,77,17,2,6,34,2,2,25,40,0,5,9,3,6,335000,350000
62651,honeyri01,1985,1,LAN,NL,32,38,5,5,1,0,0,1,0,0,3,6,0,0,8,0,1,705000,755000
62652,hootobu01,1985,1,TEX,AL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565000,690000
62653,hornebo01,1985,1,ATL,NL,130,483,61,129,25,3,27,89,1,1,50,57,4,1,0,6,18,1500000,1800000
62654,hortori01,1985,1,SLN,NL,49,16,1,1,0,0,0,0,0,0,3,5,0,0,2,0,0,110000,275000
62655,houghch01,1985,1,TEX,AL,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636667,690000
62658,howelja01,1985,1,OAK,AL,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262500,530000
62663,hoytla01,1985,1,SDN,NL,31,64,4,4,0,0,0,2,0,0,1,21,0,0,12,0,1,975000,1000000
62664,hrbekke01,1985,1,MIN,AL,158,593,78,165,31,2,21,93,1,1,67,87,12,2,0,4,12,560000,1060000
62665,hubbagl01,1985,1,ATL,NL,142,439,51,102,21,0,5,39,4,3,56,54,2,4,7,6,11,455000,505000
62667,hudsoch02,1985,1,PHI,NL,38,57,2,8,0,0,0,3,0,0,1,18,0,1,3,0,1,192500,277500
62675,hurstbr01,1985,1,BOS,AL,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,495000
62677,iorgga01,1985,1,TOR,AL,131,288,33,90,22,1,7,37,3,6,21,26,3,0,2,1,6,256667,306667
62678,jacksda02,1985,1,KCA,AL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95000,175000
62680,jacksre01,1985,1,CAL,AL,143,460,64,116,27,0,27,85,1,2,78,138,12,1,0,2,16,1058894,1102946
62682,jacobbr01,1985,1,CLE,AL,161,606,72,166,26,3,20,87,2,3,48,120,3,0,1,7,17,140000,437500
62683,jamesbo01,1985,1,CHA,AL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265000,555000
62690,johnsho01,1985,1,NYN,NL,126,389,38,94,18,4,11,46,6,4,34,78,10,0,1,4,6,115000,227500
62699,jonesly01,1985,1,KCA,AL,110,152,12,32,7,0,0,9,0,1,8,15,0,3,4,2,6,202500,185000
62701,jonesru01,1985,1,CAL,AL,125,389,66,90,17,2,21,67,7,4,57,82,2,0,8,2,5,390000,560000
62705,kearnbo01,1985,1,SEA,AL,108,305,24,74,14,1,6,27,1,1,11,59,1,4,5,1,7,183000,300000
62708,kennete02,1985,1,SDN,NL,143,532,54,139,27,1,10,74,0,0,31,102,10,0,0,2,19,870000,920000
62713,keyji01,1985,1,TOR,AL,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131250,552500
62716,kingmda01,1985,1,OAK,AL,158,592,66,141,16,0,30,91,3,2,62,114,6,2,2,8,17,1087500,730000
62720,kittlro01,1985,1,CHA,AL,116,379,51,87,12,0,26,58,1,4,31,92,1,5,0,2,12,300000,400000
62722,kneppbo01,1985,1,HOU,NL,38,78,5,11,1,0,1,5,0,0,2,38,0,0,8,0,0,850000,1000000
62724,kniceal01,1985,2,PHI,NL,7,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,60000,80000
62725,knighra01,1985,1,NYN,NL,90,271,22,59,12,0,6,36,1,1,13,32,1,1,0,5,17,560000,645000
62732,krukomi01,1985,1,SFN,NL,28,55,2,12,4,0,1,3,1,1,1,15,0,2,8,0,0,630000,745000
62737,lacyle01,1985,1,BAL,AL,121,492,69,144,22,4,9,48,10,3,39,95,0,2,1,6,10,725000,725000
62740,lahtije01,1985,1,SLN,NL,52,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,250000,450000
62743,landrke01,1985,1,LAN,NL,147,482,70,129,26,2,12,50,15,5,33,37,2,1,3,8,9,537500,637500
62744,landrti01,1985,1,SLN,NL,85,161,21,45,8,2,4,21,1,4,19,30,1,0,1,0,3,208750,236667
62745,langfri01,1985,1,OAK,AL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608333,500000
62746,langsma01,1985,1,SEA,AL,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160000,242500
62747,lansfca01,1985,1,OAK,AL,98,401,51,111,18,2,13,46,2,3,18,27,1,4,4,5,6,900000,1200000
62752,laudnti01,1985,1,MIN,AL,72,164,16,39,5,0,7,19,0,1,12,45,0,1,4,1,2,145000,155000
62754,lavelga01,1985,1,TOR,AL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475000,533333
62757,lawva01,1985,1,MON,NL,147,519,75,138,30,6,10,52,6,5,86,96,0,2,8,6,11,375000,450000
62765,leffecr01,1985,1,SDN,NL,60,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,270000,390000
62766,leibrch01,1985,1,KCA,AL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225000,770000
62770,lemonch01,1985,1,DET,AL,145,517,69,137,28,4,18,68,0,2,45,93,3,10,0,3,5,670000,698571
62771,leonade01,1985,1,KCA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871429,883333
62772,leonaje01,1985,1,SFN,NL,133,507,49,122,20,3,17,62,11,6,21,107,5,1,1,1,19,900000,900000
62775,lezcasi01,1985,1,PIT,NL,72,116,16,24,2,0,3,9,0,0,35,17,3,1,0,1,3,425000,500000
62784,lopesda01,1985,1,CHN,NL,99,275,52,78,11,0,11,44,47,4,46,37,1,0,1,3,14,490000,490000
62790,lynched01,1985,1,NYN,NL,31,52,1,4,0,0,0,0,0,0,3,30,0,0,9,0,1,330000,530000
62791,lynnfr01,1985,1,BAL,AL,124,448,59,118,12,1,23,68,7,3,53,100,6,1,0,6,7,1090000,1190000
62802,mahleri01,1985,1,ATL,NL,39,90,9,14,1,0,0,8,0,0,3,18,0,0,11,1,2,407500,687500
62804,manniri01,1985,1,ML4,AL,79,216,19,47,9,1,2,18,1,0,14,19,0,0,1,0,2,510000,495000
62806,marshmi02,1985,1,LAN,NL,135,518,72,152,27,2,28,95,3,10,37,137,6,3,2,4,8,333000,650000
62807,martibu01,1985,1,TOR,AL,42,99,11,16,3,0,4,14,0,0,10,12,0,1,0,3,3,356300,347096
62808,martica01,1985,1,SDN,NL,150,514,64,130,28,1,21,72,0,4,87,82,4,3,2,4,10,140000,240000
62809,martide01,1985,1,BAL,AL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000,560458
62810,martiti01,1985,1,BAL,AL,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440000,487078
62815,matthga01,1985,1,CHN,NL,97,298,45,70,12,0,13,40,2,0,59,64,2,2,0,3,8,600000,850000
62816,mattido01,1985,1,NYA,AL,159,652,107,211,48,3,35,145,2,2,56,41,13,2,2,15,15,455000,1375000
62819,mazzile01,1985,1,PIT,NL,92,117,20,33,8,0,1,9,4,1,29,17,1,0,1,0,3,600000,600000
62821,mccaski01,1985,1,CAL,AL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,142000
62823,mcclubo01,1985,1,ML4,AL,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480000,487500
62825,mcdowod01,1985,1,TEX,AL,111,406,63,97,14,5,18,42,25,7,36,85,2,3,5,2,6,60000,135000
62826,mcdowro01,1985,1,NYN,NL,62,19,1,3,1,0,0,1,0,0,1,7,0,0,2,0,0,60000,185000
62828,mcgeewi01,1985,1,SLN,NL,152,612,114,216,26,18,10,82,56,16,34,86,2,0,1,5,3,475000,500000
