num,playerID,yearID,stint,teamID,IgID,W,L,G,GS,CG,SHO,SV,Ipouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,prev_salary,salary
25140,heatone01,1985,1,CLE,AL,9,17,36,33,5,1,0,623,244,113,19,80,82,0.298,4.9,2,2,7,2,921,2,119,7,8,20,2465335.01406,3771015.49906
25141,henketo01,1985,1,TOR,AL,3,3,28,0,0,0,13,120,29,9,4,8,42,0.206,2.03,2,0,0,0,153,22,12,2,2,2,657422.670416,2323432.13006
25143,hernawi01,1985,1,DET,AL,8,10,74,0,0,0,31,320,82,32,13,14,76,0.21,2.7,2,2,1,0,415,64,38,4,5,5,7231649.37458,11677983.4809
25144,hershor01,1985,1,LAN,NL,19,3,36,34,9,5,0,719,179,54,8,68,157,0.206,2.03,5,5,6,0,953,1,72,5,4,25,2322893.43547,12164566.126
25146,higuete01,1985,1,ML4,AL,15,8,32,30,7,2,0,637,186,92,22,63,127,0.235,3.9,0,4,3,3,874,2,105,5,10,12,657422.670416,2372090.39457
25151,honeyri01,1985,1,LAN,NL,8,12,31,25,1,0,1,426,141,54,9,49,67,0.261,3.42,7,2,1,0,600,2,71,5,4,16,7724716.37739,9184247.42512
25152,hootobu01,1985,1,TEX,AL,5,8,29,20,2,0,0,372,149,72,18,40,62,0.297,5.23,2,2,0,0,546,2,78,0,5,10,6190730.14642,8393550.62693
25153,hortori01,1985,1,SLN,NL,3,2,49,3,0,0,1,269,84,29,5,34,59,0.251,2.91,13,3,3,2,382,10,30,8,3,6,1205274.89576,3345255.68465
25154,houghch01,1985,1,TEX,AL,14,16,34,34,14,1,0,751,198,92,23,83,141,0.215,3.31,1,11,7,3,1018,0,102,1,7,20,6975988.6551,8393550.62693
25155,howelja01,1985,1,OAK,AL,9,8,63,0,0,0,29,294,98,31,5,31,68,0.261,2.85,3,4,1,1,414,58,32,3,4,8,2876224.18307,6447220.04677
25159,hoytla01,1985,1,SDN,NL,16,8,31,31,8,3,0,631,210,81,20,20,83,0.261,3.47,2,0,2,4,839,0,85,9,3,14,10683118.3943,12164566.126
25160,hudsoch02,1985,1,PHI,NL,8,13,38,26,3,0,0,579,188,81,23,74,122,0.252,3.78,7,4,1,3,833,7,92,8,4,11,2109231.06758,3375667.09996
25164,hurstbr01,1985,1,BOS,AL,11,13,35,31,6,1,0,688,243,115,31,70,189,0.273,4.51,4,3,3,4,973,0,123,6,4,17,3287113.35208,6021460.23236
25165,jacksda02,1985,1,KCA,AL,14,12,32,32,4,3,0,624,209,79,7,76,114,0.261,3.42,2,4,6,2,893,0,94,5,4,26,1040919.22816,2128799.07205
25167,jamesbo01,1985,1,CHA,AL,8,7,69,0,0,0,32,330,90,26,5,23,88,0.226,2.13,4,3,2,2,436,60,31,7,5,9,2903616.79434,6751334.19992
25180,keyji01,1985,1,TOR,AL,14,6,35,32,3,0,0,638,188,71,22,50,85,0.237,3.0,1,6,2,1,856,0,77,5,5,21,1438112.09153,6720922.78461
25185,kneppbo01,1985,1,HOU,NL,15,13,37,37,4,0,0,723,253,95,21,54,131,0.271,3.55,5,4,3,0,1016,0,119,15,9,24,9313487.83089,12164566.126
