25104,flanami01,1985,1,BAL,AL,4,5,15,15,1,0,0,258,101,49,14,28,42,0.29699999999999999,5.1299999999999999,0.0,3,2.0,0,379.0,0,49,7.0,2.0,9.0,641667,639791
25105,fontera01,1985,1,CHN,NL,6,10,38,23,0,0,0,464,177,75,23,45,70,0.29399999999999998,4.3600000000000003,4.0,3,0.0,2,661.0,5,86,12.0,2.0,22.0,200000,240000
25106,forscbo01,1985,1,SLN,NL,9,6,34,19,3,1,2,408,132,59,11,47,48,0.25800000000000001,3.8999999999999999,4.0,4,2.0,0,567.0,4,63,5.0,1.0,12.0,583333,527235
25109,francjo01,1985,1,CIN,NL,12,3,67,0,0,0,12,297,83,24,5,40,61,0.23399999999999999,2.1800000000000002,8.0,4,1.0,0,407.0,33,27,11.0,1.0,8.0,75000,195000
25110,frazige01,1985,1,CHN,NL,7,8,51,0,0,0,2,228,88,54,11,52,46,0.29899999999999999,6.3899999999999997,9.0,4,3.0,2,357.0,17,57,7.0,1.0,10.0,483333,633333
25111,garbege01,1985,1,ATL,NL,6,6,59,0,0,0,1,292,98,39,8,25,66,0.26400000000000001,3.6099999999999999,8.0,1,2.0,0,409.0,31,41,9.0,1.0,9.0,772000,786667
25113,garresc01,1985,1,SFN,NL,9,6,74,0,0,0,13,317,76,27,2,58,106,0.19800000000000001,2.2999999999999998,12.0,7,3.0,1,454.0,44,37,6.0,3.0,6.0,85000,205000
25118,goodedw01,1985,1,NYN,NL,24,4,35,35,16,8,0,830,198,47,13,69,268,0.20100000000000001,1.53,4.0,6,2.0,2,1065.0,0,51,6.0,2.0,21.0,450000,1320000
25120,gossari01,1985,1,SDN,NL,5,3,50,0,0,0,26,237,64,16,1,17,52,0.22600000000000001,1.8200000000000001,1.0,0,1.0,0,308.0,38,21,3.0,4.0,9.0,1713333,1046761
25121,gottji01,1985,1,SFN,NL,7,10,26,26,2,0,0,445,144,64,10,51,78,0.254,3.8799999999999999,3.0,3,1.0,2,629.0,0,73,6.0,4.0,10.0,170000,375000
25123,grosske01,1985,1,PHI,NL,15,13,38,31,6,2,0,617,194,78,11,81,151,0.251,3.4100000000000001,6.0,2,7.0,0,873.0,0,86,7.0,5.0,13.0,140000,355000
25124,guantce01,1985,1,PIT,NL,4,6,63,0,0,0,5,327,84,33,5,40,92,0.214,2.7200000000000002,9.0,5,5.0,0,445.0,31,34,4.0,3.0,6.0,150000,307500
25125,gubicma01,1985,1,KCA,AL,14,10,29,28,0,0,0,532,160,80,14,77,99,0.23800000000000002,4.0599999999999996,0.0,12,5.0,0,760.0,0,88,1.0,6.0,14.0,115000,250000
25126,guidrro01,1985,1,NYA,AL,22,6,34,33,11,2,0,777,243,94,28,42,143,0.248,3.27,3.0,3,0.0,1,1033.0,0,104,3.0,8.0,30.0,900000,975000
25132,haasmo01,1985,1,ML4,AL,8,8,27,26,6,1,0,485,165,69,21,25,78,0.26000000000000001,3.8399999999999999,3.0,2,1.0,0,666.0,0,85,1.0,5.0,15.0,679167,779167
25134,hammaat01,1985,1,SFN,NL,5,12,29,29,1,1,0,512,161,71,17,47,100,0.247,3.7400000000000002,5.0,4,0.0,4,713.0,0,81,8.0,6.0,12.0,355000,460000
25138,hawkian01,1985,1,SDN,NL,18,8,33,33,5,2,0,686,229,80,18,65,69,0.26700000000000002,3.1499999999999999,8.0,3,4.0,3,953.0,0,88,13.0,12.0,23.0,200000,300000
25140,heatone01,1985,1,CLE,AL,9,17,36,33,5,1,0,623,244,113,19,80,82,0.29799999999999999,4.9000000000000004,2.0,2,7.0,2,921.0,2,119,7.0,8.0,20.0,225000,310000
25141,henketo01,1985,1,TOR,AL,3,3,28,0,0,0,13,120,29,9,4,8,42,0.20600000000000002,2.0299999999999998,2.0,0,0.0,0,153.0,22,12,2.0,2.0,2.0,60000,191000
25143,hernawi01,1985,1,DET,AL,8,10,74,0,0,0,31,320,82,32,13,14,76,0.20999999999999999,2.7000000000000002,2.0,2,1.0,0,415.0,64,38,4.0,5.0,5.0,660000,960000
25144,hershor01,1985,1,LAN,NL,19,3,36,34,9,5,0,719,179,54,8,68,157,0.20600000000000002,2.0299999999999998,5.0,5,6.0,0,953.0,1,72,5.0,4.0,25.0,212000,1000000
25146,higuete01,1985,1,ML4,AL,15,8,32,30,7,2,0,637,186,92,22,63,127,0.23499999999999999,3.8999999999999999,0.0,4,3.0,3,874.0,2,105,5.0,10.0,12.0,60000,195000
25151,honeyri01,1985,1,LAN,NL,8,12,31,25,1,0,1,426,141,54,9,49,67,0.26100000000000001,3.4199999999999999,7.0,2,1.0,0,600.0,2,71,5.0,4.0,16.0,705000,755000
25152,hootobu01,1985,1,TEX,AL,5,8,29,20,2,0,0,372,149,72,18,40,62,0.29699999999999999,5.2300000000000004,2.0,2,0.0,0,546.0,2,78,0.0,5.0,10.0,565000,690000
25153,hortori01,1985,1,SLN,NL,3,2,49,3,0,0,1,269,84,29,5,34,59,0.251,2.9100000000000001,13.0,3,3.0,2,382.0,10,30,8.0,3.0,6.0,110000,275000
25154,houghch01,1985,1,TEX,AL,14,16,34,34,14,1,0,751,198,92,23,83,141,0.215,3.3100000000000001,1.0,11,7.0,3,1018.0,0,102,1.0,7.0,20.0,636667,690000
25155,howelja01,1985,1,OAK,AL,9,8,63,0,0,0,29,294,98,31,5,31,68,0.26100000000000001,2.8500000000000001,3.0,4,1.0,1,414.0,58,32,3.0,4.0,8.0,262500,530000
25159,hoytla01,1985,1,SDN,NL,16,8,31,31,8,3,0,631,210,81,20,20,83,0.26100000000000001,3.4700000000000002,2.0,0,2.0,4,839.0,0,85,9.0,3.0,14.0,975000,1000000
25160,hudsoch02,1985,1,PHI,NL,8,13,38,26,3,0,0,579,188,81,23,74,122,0.252,3.7799999999999998,7.0,4,1.0,3,833.0,7,92,8.0,4.0,11.0,192500,277500
25164,hurstbr01,1985,1,BOS,AL,11,13,35,31,6,1,0,688,243,115,31,70,189,0.27300000000000002,4.5099999999999998,4.0,3,3.0,4,973.0,0,123,6.0,4.0,17.0,300000,495000
25165,jacksda02,1985,1,KCA,AL,14,12,32,32,4,3,0,624,209,79,7,76,114,0.26100000000000001,3.4199999999999999,2.0,4,6.0,2,893.0,0,94,5.0,4.0,26.0,95000,175000
25167,jamesbo01,1985,1,CHA,AL,8,7,69,0,0,0,32,330,90,26,5,23,88,0.22600000000000001,2.1299999999999999,4.0,3,2.0,2,436.0,60,31,7.0,5.0,9.0,265000,555000
